측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,처리시간_sec,합격여부
2024-03-01 03:00,LOT-0344,EQ-01,포토,301.0,1006.1,51.92,114.9,1.0
2024-03-01 10:00,LOT-0063,EQ-04,산화,304.7,1018.2,49.65,115.3,1.0
2024-03-02 04:00,LOT-0132,EQ-02,세정,297.2,1001.0,49.9,132.3,1.0
2024-03-03 11:00,LOT-0035,EQ-04,증착,299.0,1008.6,47.52,121.6,1.0
2024-03-03 14:00,LOT-0019,EQ-04,세정,301.6,996.3,49.7,124.7,1.0
2024-03-04 04:00,LOT-0152,EQ-02,식각,301.7,1019.0,48.91,116.5,1.0
2024-03-04 13:00,LOT-0103,EQ-01,증착,302.5,1010.3,51.84,122.7,1.0
2024-03-04 17:00,LOT-0090,EQ-02,산화,294.7,1016.3,48.77,119.8,1.0
2024-03-05 03:00,LOT-0399,EQ-03,식각,304.1,1033.1,48.87,109.8,1.0
2024-03-05 16:00,LOT-0091,EQ-01,세정,295.6,1013.8,51.36,118.9,1.0
2024-03-05 22:00,LOT-0229,EQ-02,식각,299.9,1013.5,46.57,120.2,1.0
2024-03-06 07:00,LOT-0379,EQ-01,포토,310.9,1007.3,48.68,119.6,-1.0
2024-03-06 17:00,LOT-0080,EQ-03,증착,304.3,1013.6,52.34,125.7,1.0
2024-03-07 01:00,LOT-0132,EQ-03,증착,298.2,1007.9,49.69,123.2,1.0
2024-03-07 18:00,LOT-0064,EQ-02,증착,301.7,1015.9,51.66,113.1,1.0
2024-03-07 21:00,LOT-0137,EQ-04,식각,297.2,1015.4,44.12,116.5,1.0
2024-03-08 06:00,LOT-0157,EQ-04,세정,297.5,1013.6,48.6,119.2,1.0
2024-03-08 16:00,LOT-0096,EQ-03,식각,540.3154049706842,1009.6,49.59,120.3,1.0
2024-03-08 17:00,LOT-0345,EQ-03,포토,298.8,1010.0,47.12,119.9,1.0
2024-03-09 00:00,LOT-0288,EQ-02,산화,300.3,1010.8,51.65,113.0,1.0
2024-03-09 04:00,LOT-0097,EQ-01,세정,302.9,1009.9,47.01,120.9,-1.0
2024-03-09 14:00,LOT-0104,EQ-04,증착,309.3,1015.1,48.71,118.2,1.0
2024-03-09 20:00,LOT-0056,EQ-01,식각,302.3,1005.3,,108.8,1.0
2024-03-10 00:00,LOT-0001,EQ-02,식각,301.5,1008.8,50.05,108.3,1.0
2024-03-10 04:00,LOT-0368,EQ-03,산화,295.7,1013.9,49.31,112.0,1.0
2024-03-10 10:00,LOT-0268,EQ-01,중착,305.7,1024.3,47.96,115.3,1.0
2024-03-10 15:00,LOT-0154,EQ-04,증착,,1013.3,50.09,112.8,1.0
2024-03-10 17:00,LOT-0046,EQ-04,식각,306.9,1009.3,48.22,114.6,1.0
2024-03-10 22:00,LOT-0359,EQ-03,세정,300.8,1008.8,52.57,112.6,-1.0
2024-03-12 02:00,LOT-0350,EQ-02,포토,307.4,1022.5,49.21,116.9,1.0
2024-03-12 08:00,LOT-0283,EQ-03,포토공정,298.1,1005.7,47.83,122.2,1.0
