로트번호,공정명,설비번호,온도_섭씨,합격여부
LOT-0049,산화,EQ-03,304.4,1
LOT-0186,식각,EQ-02,294.9,1
LOT-0196,증착,EQ-04,302.6,1
LOT-0015,산화,EQ-01,295.2,1
LOT-0037,산화,EQ-03,304.3,1
LOT-0186,증착,EQ-03,293.8,-1
LOT-0026,증착,EQ-02,297.2,1
LOT-0141,식각,EQ-04,314.1,1
LOT-0032,식각,EQ-01,320.3,1
LOT-0178,포토,EQ-02,303.4,1
LOT-0195,포토,EQ-02,293.8,-1
LOT-0034,산화,EQ-04,318.4,1
LOT-0136,포토,EQ-01,297.7,1
LOT-0110,세정,EQ-04,303.0,1
LOT-0119,증착,EQ-03,296.7,1
LOT-0057,포토,EQ-03,308.0,1
LOT-0069,세정,EQ-01,299.9,1
LOT-0170,세정,EQ-03,298.8,1
LOT-0031,산화,EQ-04,301.8,1
LOT-0185,세정,EQ-03,299.5,1
LOT-0004,증착,EQ-04,295.8,1
LOT-0176,포토,EQ-03,297.8,1
LOT-0160,증착,EQ-01,300.7,1
LOT-0016,증착,EQ-03,306.3,1
LOT-0093,세정,EQ-03,301.1,1
LOT-0102,세정,EQ-03,312.4,1
LOT-0197,증착,EQ-04,291.0,1
LOT-0046,산화,EQ-02,316.6,1
LOT-0004,세정,EQ-01,299.9,1
LOT-0085,식각,EQ-04,307.0,-1
