측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,가스유량_slm,합격여부
2024-03-01 21:00,LOT-0141,EQ-02,산화,297.6,1005.8,50.02,1
2024-03-02 04:00,LOT-0122,EQ-04,식각,300.4,1010.5,49.22,1
2024-03-02 08:00,LOT-0156,EQ-02,세정,296.9,1007.6,50.91,-1
2024-03-02 12:00,LOT-0224,EQ-02,산화,297.2,1019.1,47.75,1
2024-03-02 21:00,LOT-0302,EQ-01,세정,296.7,1016.9,51.17,1
2024-03-02 23:00,LOT-0151,EQ-03,증착,297.6,1013.1,52.13,1
2024-03-04 07:00,LOT-0071,EQ-03,세정,308.1,1002.9,52.59,1
2024-03-04 14:00,LOT-0237,EQ-03,산화,302.8,1007.9,47.08,1
2024-03-04 16:00,LOT-0054,EQ-02,증착,294.4,1018.0,53.83,1
2024-03-05 00:00,LOT-0146,EQ-01,산화,299.2,1026.4,48.2,1
2024-03-05 06:00,LOT-0050,EQ-01,산화,298.7,1007.9,47.24,1
2024-03-05 12:00,LOT-0192,EQ-04,증착,308.2,1033.0,52.46,-1
2024-03-06 07:00,LOT-0077,EQ-01,증착,293.0,1008.9,51.95,1
2024-03-06 11:00,LOT-0059,EQ-04,산화,302.6,1008.9,50.05,1
2024-03-06 13:00,LOT-0375,EQ-02,식각,303.4,1014.8,52.0,1
2024-03-06 16:00,LOT-0089,EQ-03,증착,308.6,1006.8,51.56,1
2024-03-06 23:00,LOT-0199,EQ-04,포토,306.9,1012.3,50.85,-1
2024-03-07 06:00,LOT-0045,EQ-04,포토,299.5,1013.1,47.97,1
2024-03-07 08:00,LOT-0331,EQ-02,포토,293.8,1008.5,49.45,1
2024-03-07 15:00,LOT-0329,EQ-01,증착,296.2,1009.9,50.16,1
2024-03-08 18:00,LOT-0284,EQ-03,포토,297.5,1016.6,52.58,1
2024-03-09 03:00,LOT-0074,EQ-02,식각,299.3,1022.1,53.32,-1
2024-03-09 05:00,LOT-0057,EQ-03,식각,297.5,1030.2,49.88,1
2024-03-10 01:00,LOT-0168,EQ-01,세정,294.8,1013.6,48.95,1
2024-03-10 02:00,LOT-0063,EQ-02,포토,302.6,1000.5,48.56,1
2024-03-10 12:00,LOT-0015,EQ-01,산화,300.7,1008.5,52.0,1
2024-03-10 16:00,LOT-0262,EQ-04,포토,298.6,999.1,48.85,1
2024-03-10 23:00,LOT-0147,EQ-02,식각,298.2,1012.8,54.48,1
2024-03-11 00:00,LOT-0011,EQ-01,증착,297.6,1006.6,50.56,1
2024-03-11 15:00,LOT-0247,EQ-01,식각,296.1,1014.8,50.47,1
2024-03-11 18:00,LOT-0324,EQ-03,포토,310.1,1010.0,51.55,1
2024-03-12 02:00,LOT-0390,EQ-02,산화,298.8,1012.1,50.15,1
2024-03-12 03:00,LOT-0153,EQ-04,증착,297.7,1008.9,48.38,-1
2024-03-12 04:00,LOT-0216,EQ-02,증착,306.1,1024.5,50.39,1
2024-03-12 05:00,LOT-0089,EQ-03,산화,298.7,997.3,51.01,1
2024-03-12 08:00,LOT-0016,EQ-03,산화,301.4,1021.0,49.18,1
2024-03-12 15:00,LOT-0295,EQ-04,포토,296.1,1021.4,49.75,1
2024-03-13 01:00,LOT-0107,EQ-02,세정,298.5,1017.0,50.12,1
2024-03-13 07:00,LOT-0392,EQ-01,포토,292.9,1014.3,46.45,1
2024-03-13 10:00,LOT-0125,EQ-04,식각,302.1,1015.5,48.63,1
