측정시간,로트번호,설비번호,공정명,온도_섭씨,압력_Pa,두께_nm,진동_mm_s,처리시간_sec,합격여부
2024-03-01 05:00,LOT-0472,EQ-04,식각,295.6,1026.3,97.35,0.507,124.3,-1
2024-03-01 17:00,LOT-0206,EQ-04,증착,301.6,1008.5,99.79,0.487,123.5,1
2024-03-01 19:00,LOT-0403,EQ-04,포토,300.8,1006.1,99.34,0.501,114.9,1
2024-03-02 00:00,LOT-0468,EQ-01,식각,297.8,1010.0,95.23,0.467,117.0,1
2024-03-02 03:00,LOT-0117,EQ-01,산화,299.5,1014.7,100.53,0.544,115.2,1
2024-03-02 05:00,LOT-0195,EQ-01,세정,304.0,1005.8,103.56,0.428,119.6,1
2024-03-02 09:00,LOT-0091,EQ-02,식각,295.3,999.9,96.78,0.451,117.5,1
2024-03-02 14:00,LOT-0313,EQ-03,포토,298.6,1012.8,99.1,0.5,115.0,1
2024-03-03 01:00,LOT-0553,EQ-04,증착,302.2,1015.1,99.21,0.472,117.6,1
2024-03-03 07:00,LOT-0408,EQ-01,증착,295.9,1005.6,97.05,0.478,121.7,1
2024-03-03 10:00,LOT-0120,EQ-04,증착,299.6,1011.4,99.82,0.515,123.0,1
2024-03-03 16:00,LOT-0022,EQ-04,증착,300.0,1019.0,98.66,0.554,124.8,1
2024-03-03 20:00,LOT-0504,EQ-03,포토,298.6,1013.2,98.68,0.465,125.7,1
2024-03-04 07:00,LOT-0566,EQ-02,세정,302.1,1006.6,101.09,0.558,123.1,-1
2024-03-04 08:00,LOT-0012,EQ-02,식각,302.7,1015.4,99.07,0.699,124.1,1
2024-03-04 13:00,LOT-0435,EQ-01,포토,300.9,1003.9,99.02,0.467,126.8,1
2024-03-05 08:00,LOT-0054,EQ-01,산화,300.1,1011.8,102.27,0.469,127.9,1
2024-03-05 13:00,LOT-0438,EQ-03,식각,302.3,1012.5,102.16,0.504,124.3,1
2024-03-05 21:00,LOT-0094,EQ-04,증착,302.7,1012.8,99.57,0.523,123.5,1
2024-03-05 23:00,LOT-0302,EQ-03,세정,300.7,1016.6,102.53,0.541,111.9,1
2024-03-06 03:00,LOT-0454,EQ-04,세정,300.0,1005.9,99.59,0.473,116.3,1
2024-03-06 13:00,LOT-0266,EQ-02,식각,293.7,1014.3,96.12,0.616,119.1,1
2024-03-06 16:00,LOT-0055,EQ-03,증착,303.2,997.6,103.05,0.474,130.0,-1
2024-03-07 00:00,LOT-0348,EQ-04,증착,301.4,1011.9,103.98,0.525,114.5,1
2024-03-07 06:00,LOT-0258,EQ-03,식각,301.4,991.5,103.55,0.436,124.3,1
2024-03-07 08:00,LOT-0407,EQ-01,세정,303.5,1007.5,100.29,0.525,133.9,1
2024-03-07 11:00,LOT-0165,EQ-04,산화,299.3,1016.6,101.28,0.506,115.7,1
2024-03-07 16:00,LOT-0566,EQ-03,식각,299.2,994.0,102.67,0.558,123.1,1
2024-03-08 03:00,LOT-0457,EQ-01,산화,302.6,1008.5,102.92,0.492,126.4,1
2024-03-08 11:00,LOT-0157,EQ-03,식각,292.3,1016.3,93.85,0.535,120.3,1
2024-03-08 12:00,LOT-0033,EQ-01,산화,303.0,1009.5,102.04,0.473,119.1,1
2024-03-08 20:00,LOT-0522,EQ-03,증착,301.5,1005.7,101.17,0.4,118.8,1
2024-03-09 09:00,LOT-0309,EQ-01,포토,297.6,1016.8,98.21,0.527,123.2,1
2024-03-09 11:00,LOT-0439,EQ-04,세정,298.9,1010.1,97.86,0.551,113.1,1
2024-03-09 16:00,LOT-0267,EQ-04,산화,303.6,1011.2,102.49,0.479,125.2,1
2024-03-10 02:00,LOT-0242,EQ-03,세정,299.2,1006.9,99.18,0.484,117.1,1
2024-03-10 07:00,LOT-0014,EQ-02,세정,297.4,1015.8,99.33,0.668,115.8,1
2024-03-10 20:00,LOT-0204,EQ-04,증착,302.0,1015.6,102.9,0.534,123.2,1
2024-03-11 05:00,LOT-0178,EQ-04,증착,301.2,1009.1,100.32,0.467,131.1,1
2024-03-11 06:00,LOT-0257,EQ-01,식각,301.0,1016.8,100.88,0.475,115.3,1
2024-03-11 11:00,LOT-0491,EQ-03,증착,300.8,1011.1,99.66,0.492,124.7,1
2024-03-11 14:00,LOT-0396,EQ-04,산화,300.2,1018.5,102.18,0.513,118.8,-1
2024-03-12 17:00,LOT-0266,EQ-01,식각,302.0,994.2,103.61,0.476,119.9,1
2024-03-12 18:00,LOT-0263,EQ-02,포토,309.5,999.8,106.02,0.686,120.0,1
2024-03-12 19:00,LOT-0473,EQ-04,포토,296.3,1007.1,98.46,0.533,118.5,1
2024-03-13 05:00,LOT-0500,EQ-02,식각,303.3,1019.6,98.46,0.562,106.5,1
2024-03-13 06:00,LOT-0031,EQ-02,식각,307.3,1020.7,102.98,0.517,126.6,1
2024-03-13 10:00,LOT-0182,EQ-03,포토,297.6,1010.6,98.86,0.482,125.1,1
2024-03-14 07:00,LOT-0342,EQ-04,포토,304.6,1008.5,102.57,0.455,137.3,1
2024-03-14 10:00,LOT-0400,EQ-03,산화,301.9,1021.7,101.66,0.504,122.1,1
2024-03-14 16:00,LOT-0175,EQ-01,산화,303.6,1010.0,101.45,0.578,112.2,1
2024-03-14 17:00,LOT-0496,EQ-01,세정,301.6,1000.6,103.43,0.523,114.0,-1
2024-03-14 21:00,LOT-0459,EQ-01,증착,299.1,1007.6,99.51,0.459,111.7,1
2024-03-14 22:00,LOT-0455,EQ-04,포토,303.5,1016.9,100.56,0.479,121.4,1
2024-03-15 14:00,LOT-0527,EQ-03,세정,302.3,1014.0,103.2,0.578,117.7,1
2024-03-16 05:00,LOT-0251,EQ-01,산화,303.1,1025.0,102.33,0.485,125.7,1
2024-03-16 08:00,LOT-0387,EQ-03,세정,299.5,1010.4,100.38,0.383,124.7,1
2024-03-16 14:00,LOT-0188,EQ-01,포토,301.6,1024.4,100.93,0.521,117.5,1
2024-03-16 16:00,LOT-0157,EQ-01,산화,304.5,1004.8,103.79,0.438,123.6,1
2024-03-16 18:00,LOT-0437,EQ-01,식각,298.2,1013.6,101.08,0.526,113.7,1
2024-03-16 23:00,LOT-0008,EQ-01,식각,303.0,1010.2,101.23,0.47,119.6,1
2024-03-17 14:00,LOT-0164,EQ-01,증착,298.0,1019.8,102.08,0.536,116.7,1
2024-03-17 17:00,LOT-0068,EQ-04,세정,304.5,996.8,104.14,0.464,124.6,1
2024-03-17 20:00,LOT-0045,EQ-02,포토,310.5,1017.4,106.64,0.495,122.5,1
2024-03-18 04:00,LOT-0493,EQ-04,세정,298.8,1010.7,96.99,0.599,128.6,1
2024-03-18 08:00,LOT-0344,EQ-01,산화,302.0,1016.1,100.54,0.488,122.6,1
2024-03-18 17:00,LOT-0448,EQ-04,식각,303.8,1029.7,101.78,0.489,112.2,1
2024-03-18 23:00,LOT-0519,EQ-02,세정,300.8,999.9,100.55,0.654,120.3,-1
2024-03-19 01:00,LOT-0131,EQ-02,포토,304.8,1022.7,102.53,0.633,124.1,-1
2024-03-19 05:00,LOT-0340,EQ-04,산화,303.2,1010.8,101.95,0.568,121.0,1
2024-03-19 13:00,LOT-0547,EQ-02,식각,298.8,1004.8,98.49,0.529,116.4,-1
2024-03-19 16:00,LOT-0239,EQ-02,산화,307.1,1014.0,106.41,0.671,122.9,1
2024-03-20 06:00,LOT-0283,EQ-04,산화,303.1,1003.8,100.65,0.504,119.9,1
2024-03-20 21:00,LOT-0003,EQ-02,포토,314.7,1005.8,108.32,0.554,122.7,1
2024-03-20 23:00,LOT-0329,EQ-01,세정,305.6,1022.0,102.24,0.514,126.2,1
2024-03-21 08:00,LOT-0366,EQ-02,식각,308.0,1016.8,103.58,0.48,118.7,1
2024-03-21 17:00,LOT-0155,EQ-02,증착,304.4,1013.9,104.21,0.746,122.8,-1
2024-03-21 21:00,LOT-0448,EQ-04,증착,300.0,1021.1,100.0,0.556,117.5,1
2024-03-22 01:00,LOT-0493,EQ-01,식각,301.0,998.4,103.61,0.439,114.9,1
2024-03-22 05:00,LOT-0583,EQ-04,증착,300.4,1010.8,100.35,0.504,131.3,1
2024-03-22 23:00,LOT-0427,EQ-01,세정,303.7,1003.4,102.79,0.523,120.7,1
2024-03-23 02:00,LOT-0353,EQ-04,증착,303.5,1015.6,103.46,0.469,128.7,1
2024-03-23 10:00,LOT-0585,EQ-01,포토,299.5,1015.4,96.6,0.496,109.9,1
2024-03-23 15:00,LOT-0496,EQ-03,증착,303.1,1002.0,103.14,0.5,111.4,1
2024-03-24 16:00,LOT-0134,EQ-02,증착,300.9,1020.9,99.39,0.546,117.5,1
2024-03-24 18:00,LOT-0455,EQ-03,산화,300.7,1029.0,99.42,0.498,135.0,1
2024-03-25 02:00,LOT-0253,EQ-03,증착,303.8,1006.6,102.62,0.512,113.9,1
2024-03-26 06:00,LOT-0209,EQ-03,증착,301.7,1017.2,99.63,0.501,119.6,1
2024-03-27 01:00,LOT-0004,EQ-04,산화,300.6,1014.8,100.35,0.411,116.8,1
2024-03-27 03:00,LOT-0496,EQ-02,포토,297.4,1003.9,98.49,0.681,115.7,1
2024-03-27 08:00,LOT-0572,EQ-03,세정,303.0,1013.2,102.48,0.44,129.2,1
2024-03-27 23:00,LOT-0284,EQ-04,산화,299.0,1009.8,100.49,0.471,119.8,1
2024-03-28 00:00,LOT-0466,EQ-01,산화,300.8,1004.0,102.71,0.538,131.5,1
2024-03-28 04:00,LOT-0527,EQ-03,세정,303.1,1017.3,103.32,0.538,120.4,1
2024-03-28 21:00,LOT-0474,EQ-04,포토,304.5,1021.8,100.65,0.514,129.4,-1
2024-03-29 02:00,LOT-0157,EQ-02,식각,301.5,997.5,98.76,0.584,118.1,1
2024-03-30 06:00,LOT-0449,EQ-03,포토,302.0,998.8,100.53,0.555,131.8,1
2024-03-30 07:00,LOT-0189,EQ-02,증착,297.0,1010.8,98.77,0.549,110.6,1
2024-03-30 16:00,LOT-0445,EQ-03,산화,305.1,999.2,103.11,0.447,112.9,-1
2024-03-30 22:00,LOT-0451,EQ-03,증착,300.6,1024.0,98.76,0.448,118.2,1
2024-03-31 04:00,LOT-0140,EQ-04,포토,300.0,1007.8,101.19,0.494,131.7,-1
2024-03-31 05:00,LOT-0025,EQ-02,산화,306.8,1022.5,103.94,0.565,123.7,-1
2024-03-31 08:00,LOT-0178,EQ-02,세정,295.5,1007.1,95.81,0.54,132.3,1
2024-03-31 12:00,LOT-0537,EQ-03,증착,300.2,1010.1,101.15,0.473,116.3,1
2024-04-01 17:00,LOT-0163,EQ-04,세정,303.3,1013.5,101.14,0.468,130.5,-1
2024-04-02 21:00,LOT-0307,EQ-02,포토,301.2,1024.3,102.32,0.646,116.4,1
2024-04-03 19:00,LOT-0197,EQ-03,포토,303.7,1018.7,100.17,0.451,109.3,1
2024-04-03 21:00,LOT-0548,EQ-01,증착,298.5,1000.2,98.59,0.514,119.7,1
2024-04-05 09:00,LOT-0463,EQ-04,증착,303.5,1010.7,103.22,0.557,119.4,1
2024-04-06 06:00,LOT-0153,EQ-03,식각,301.8,1011.6,102.98,0.482,126.3,1
2024-04-06 08:00,LOT-0399,EQ-02,식각,304.3,1014.4,102.38,0.672,117.8,1
2024-04-06 17:00,LOT-0505,EQ-01,산화,304.2,1032.6,104.54,0.481,121.4,1
2024-04-07 00:00,LOT-0489,EQ-02,증착,307.8,1019.8,105.07,0.514,112.6,1
2024-04-07 03:00,LOT-0030,EQ-02,세정,300.6,1007.2,101.94,0.526,113.1,1
2024-04-07 06:00,LOT-0037,EQ-04,세정,305.5,1008.7,103.68,0.5,120.9,1
2024-04-07 09:00,LOT-0392,EQ-04,세정,302.6,1012.3,99.64,0.469,122.8,1
2024-04-07 23:00,LOT-0275,EQ-01,식각,302.8,1004.1,101.48,0.536,125.9,1
2024-04-08 00:00,LOT-0260,EQ-04,포토,301.2,1009.6,98.95,0.449,124.4,1
2024-04-08 03:00,LOT-0129,EQ-01,식각,303.6,1005.9,100.08,0.562,125.2,1
2024-04-08 12:00,LOT-0346,EQ-04,포토,305.3,1017.9,99.6,0.507,128.1,1
2024-04-08 22:00,LOT-0408,EQ-03,증착,302.1,1005.8,102.22,0.484,114.8,1
